msoa11cd,total_number_of_collisions_2018_2022,total_number_of_casualties_2018_2022,fatal_casualties_2018_2022,cyclist_casualties_2018_2022,pedestrian_casualties_2018_2022,horse_rider_casualties_2018_2022,car_occupant_casualties_2018_2022,snow_collisions_2018_2022,fog_or_mist_collisions_2018_2022,darkness_collisions_2018_2022,daylight_collisions_2018_2022,summer_collisions_2018_2022
E02005449,144,69,0,9,12,0,9,4,4,39,105,35
E02005776,144,55,1,5,3,0,7,5,5,37,107,40
E02005897,144,77,0,3,10,0,8,5,5,29,115,46
E02006369,144,66,0,5,4,1,10,4,4,35,109,37
E02006532,144,81,2,9,7,0,10,5,5,46,98,30
E02000124,143,147,0,39,22,0,46,5,5,47,96,34
E02000369,143,162,1,63,29,0,16,6,6,45,98,36
E02000582,143,35,0,13,7,0,9,5,5,40,103,46
E02002559,143,57,0,9,6,0,5,5,5,41,103,37
E02005073,143,137,1,12,26,0,19,6,6,36,107,38
E02005134,143,111,0,8,13,0,15,5,5,34,109,41
E02005217,143,184,1,8,29,0,3,8,6,41,103,30
E02006374,143,90,1,7,9,0,7,4,5,55,88,40
E02000206,142,157,0,27,27,0,43,6,6,46,96,39
E02000508,142,83,0,14,19,0,4,4,4,41,101,48
E02000913,142,107,0,13,18,0,21,5,5,42,100,37
E02001260,142,31,0,6,5,0,0,5,5,35,108,40
E02001536,142,64,1,2,5,0,8,5,5,45,97,42
E02002059,142,95,1,3,15,0,8,6,6,39,103,28
E02004396,142,127,3,3,9,1,16,5,5,43,99,32
E02005288,142,58,0,5,4,0,1,4,4,37,106,46
W02000418,142,66,2,3,6,0,4,7,7,34,108,42
E02000041,141,97,0,10,18,0,12,5,5,35,106,34
E02000262,141,124,0,31,14,0,36,5,5,42,99,31
E02000510,141,80,0,10,19,0,9,5,5,43,99,47
E02000542,141,145,0,13,23,0,36,5,5,38,103,35
E02000635,141,128,0,58,19,0,18,5,5,52,89,41
E02000926,141,124,2,61,15,0,25,6,6,40,101,33
E02001200,141,50,2,6,8,0,7,4,4,39,102,28
E02002089,141,65,1,4,10,0,2,5,5,43,98,32
E02003241,141,60,0,2,5,0,6,4,5,39,102,42
E02004113,141,92,1,9,13,0,11,6,6,30,112,36
E02004639,141,84,1,15,17,0,4,5,5,46,95,37
E02005089,141,74,0,5,3,0,9,5,4,31,110,43
E02005468,141,83,2,6,4,2,5,5,5,38,103,33
E02005487,141,86,3,2,7,0,11,5,5,35,106,40
E02005542,141,74,1,12,11,0,5,4,5,39,102,50
E02006843,141,0,0,0,0,0,0,5,5,50,91,29
E02006856,141,90,0,9,17,0,14,7,7,44,97,42
E02000045,140,123,1,18,20,0,21,6,6,40,100,43
E02000388,140,93,0,35,19,0,15,5,5,50,90,34
E02000577,140,102,0,16,22,0,21,5,5,38,102,41
E02000887,140,159,0,43,24,0,19,4,4,58,82,38
E02000954,140,81,0,31,8,0,18,4,4,43,97,44
E02001594,140,81,3,5,17,0,2,4,4,41,99,37
E02002434,140,80,2,4,7,0,10,4,4,44,96,32
E02003150,140,107,0,16,25,0,24,6,6,45,95,36
E02004075,140,53,1,3,0,1,2,4,4,25,115,45
E02004397,140,103,1,6,8,1,10,5,5,39,101,36
E02005097,140,49,0,9,7,0,9,6,6,41,102,48
E02005602,140,94,3,6,4,0,8,7,7,38,104,39
E02005782,140,38,2,0,2,1,2,7,9,38,102,50
E02005931,140,68,3,10,4,0,4,6,6,35,106,37
E02006571,140,80,0,22,3,0,4,4,4,32,108,39
E02006669,140,79,2,8,4,0,5,6,6,26,115,46
E02000354,139,153,0,51,25,0,25,6,6,55,84,45
E02000637,139,132,0,73,22,0,12,5,5,58,81,38
E02000980,139,76,0,18,15,0,13,5,5,35,105,36
E02001904,139,98,0,7,26,0,3,4,4,48,91,37
E02002392,139,57,1,9,19,0,1,3,3,48,91,37
E02004903,139,83,1,7,8,0,10,4,4,39,100,42
E02005098,139,56,0,9,11,0,4,6,6,43,97,42
E02005185,139,99,0,5,15,0,12,6,6,39,100,35
E02005952,139,116,2,36,12,0,18,7,7,50,89,28
E02006415,139,56,2,9,5,0,9,4,4,39,100,33
E02006579,139,76,0,12,15,0,5,5,5,49,90,26
E02000170,138,87,0,18,18,0,28,5,5,43,95,29
E02000241,138,105,0,10,25,0,24,4,4,42,96,39
E02000363,138,131,1,38,27,0,17,6,6,51,87,36
E02000423,138,136,0,43,9,0,50,4,4,43,95,38
E02000587,138,59,1,10,17,0,9,5,5,36,102,33
E02000619,138,122,2,24,29,0,27,5,5,45,93,47
E02002165,138,96,0,11,20,0,3,5,5,32,106,35
E02002812,138,68,1,14,7,0,6,4,5,37,101,33
E02002885,138,119,0,10,30,0,14,5,5,39,99,39
E02003272,138,147,1,6,19,0,4,5,5,55,83,22
E02003324,138,139,0,5,13,0,22,5,5,31,109,42
E02003666,138,56,0,9,11,0,5,5,5,42,96,33
E02004599,138,52,0,2,3,0,8,4,4,43,95,38
E02005094,138,92,2,7,15,0,10,5,8,40,98,42
E02006358,138,54,1,4,10,0,10,4,4,46,92,37
E02006874,138,82,0,4,9,1,10,5,5,25,114,39
W02000149,138,31,1,0,5,0,3,5,4,42,96,45
E02000094,137,98,0,9,20,0,22,5,5,37,100,29
E02000100,137,61,0,6,8,0,16,5,5,40,97,35
E02000757,137,101,0,22,14,0,14,7,7,41,97,32
E02001733,137,93,0,12,20,0,5,7,7,39,99,35
E02002645,137,87,0,16,20,0,8,4,4,43,94,48
E02003536,137,118,2,29,19,0,18,5,5,33,104,38
E02003644,137,113,0,9,10,0,12,5,6,33,104,33
E02005239,137,63,0,7,11,0,5,5,4,37,101,34
E02006373,137,69,0,4,3,0,11,4,4,33,104,46
